City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto natales,-51.7236,-72.4875,10.74,76,100,5.4,CL,1705120480
83,cabo san lucas,22.8909,-109.9124,20.28,63,62,1.93,MX,1705120481
84,ushuaia,-54.8,-68.3,6.81,81,75,9.26,AR,1705120278
85,dzhambeyty,50.2536,52.595,-22.06,96,100,3.67,KZ,1705120481
86,city of balikpapan,-1.242,116.8942,28.97,79,20,2.06,ID,1705120481
87,yellowknife,62.456,-114.3525,-38.17,77,20,3.6,CA,1705120482
88,kupang,-10.1667,123.5833,31.32,79,75,5.66,ID,1705120482
89,dunedin,-45.8742,170.5036,30.6,27,70,3.51,NZ,1705120482
90,ribeira grande,38.5167,-28.7,15.99,86,57,8.05,PT,1705120482
91,hermanus,-34.4187,19.2345,19.36,84,0,0.35,ZA,1705120483
92,jining,35.405,116.5814,11.77,52,35,3.96,CN,1705120483
93,atafu village,-8.5421,-172.5159,29.9,72,74,6.61,TK,1705120483
94,kone,-21.0595,164.8658,31.9,55,92,2.11,NC,1705120483
95,yarmouth,41.7057,-70.2286,7.03,82,0,3.6,US,1705120345
96,inongo,-1.95,18.2667,22.39,86,96,1.77,CD,1705120484
97,talnakh,69.4865,88.3972,-29.89,95,38,3.2,RU,1705120454
98,tianshui,34.5439,105.6897,9.05,53,0,2.06,CN,1705120466
99,margaret river,-33.95,115.0667,30.04,48,91,2.68,AU,1705120484
100,newport,51.5877,-2.9984,2.68,88,4,1.64,GB,1705120485
101,ketchikan,55.3422,-131.6461,-11.48,72,0,1.54,US,1705120219
102,kalevala,65.2,31.1667,-19.39,98,100,2.24,RU,1705120485
103,vadso,70.0744,29.7487,-8.91,79,40,5.14,NO,1705120485
104,floro,61.5996,5.0328,4.98,93,100,10.8,NO,1705120485
105,anadyr,64.75,177.4833,-6.72,86,100,6.0,RU,1705120486
106,gushu,31.5598,118.4829,15.99,46,0,3.12,CN,1705120486
107,ilulissat,69.2167,-51.1,-7.99,79,37,2.06,GL,1705120486
108,kodiak,57.79,-152.4072,3.73,100,100,6.69,US,1705120486
109,puerto deseado,-47.7503,-65.8938,15.56,75,13,8.92,AR,1705120487
110,constantia,44.1833,28.65,-5.62,62,84,4.05,RO,1705120487
111,erdenet,49.0333,104.0833,-15.56,89,99,2.28,MN,1705120487
112,uturoa,-16.7333,-151.4333,27.69,76,90,6.59,PF,1705120487
